alternative,tool_name,count
default,run_shell_command,1393
default,write_file,551
default,replace,218
default,google_web_search,29
default,read_file,20
default,web_fetch,3
godoctor-extension,run_shell_command,1029
godoctor-extension,file_create,426
godoctor-extension,smart_edit,273
godoctor-extension,read_docs,43
godoctor-extension,smart_read,28
godoctor-extension,verify_tests,9
godoctor-extension,add_dependency,6
godoctor-extension,list_files,2
godoctor-extension,verify_build,1
godoctor-mcp,run_shell_command,1092
godoctor-mcp,file_create,439
godoctor-mcp,smart_edit,247
godoctor-mcp,read_docs,37
godoctor-mcp,smart_read,25
godoctor-mcp,add_dependency,4
godoctor-mcp,verify_tests,1
